 0.001 	 0.088177 
 0.002 	 0.115197 
 0.003 	 0.131097 
 0.004 	 0.141367 
 0.005 	 0.148251 
 0.006 	 0.152920 
 0.007 	 0.156062 
 0.008 	 0.158115 
 0.009 	 0.159378 
 0.010 	 0.160052 
 0.011 	 0.160283 
 0.012 	 0.160175 
 0.013 	 0.159809 
 0.014 	 0.159248 
 0.015 	 0.158536 
 0.016 	 0.157702 
 0.017 	 0.156783 
 0.018 	 0.155797 
 0.019 	 0.154761 
 0.020 	 0.153685 
 0.021 	 0.152587 
 0.022 	 0.151471 
 0.023 	 0.150342 
 0.024 	 0.149211 
 0.025 	 0.148081 
 0.026 	 0.146951 
 0.027 	 0.145830 
 0.028 	 0.144719 
 0.029 	 0.143617 
 0.030 	 0.142527 
 0.031 	 0.141452 
 0.032 	 0.140390 
 0.033 	 0.139345 
 0.034 	 0.138314 
 0.035 	 0.137296 
 0.036 	 0.136298 
 0.037 	 0.135312 
 0.038 	 0.134347 
 0.039 	 0.133393 
 0.040 	 0.132459 
 0.041 	 0.131539 
 0.042 	 0.130634 
 0.043 	 0.129746 
 0.044 	 0.128873 
 0.045 	 0.128013 
 0.046 	 0.127169 
 0.047 	 0.126340 
 0.048 	 0.125525 
 0.049 	 0.124723 
 0.050 	 0.123934 
 0.051 	 0.123162 
 0.052 	 0.122400 
 0.053 	 0.121651 
 0.054 	 0.120915 
 0.055 	 0.120191 
 0.056 	 0.119479 
 0.057 	 0.118777 
 0.058 	 0.118087 
 0.059 	 0.117411 
 0.060 	 0.116744 
 0.061 	 0.116088 
 0.062 	 0.115442 
 0.063 	 0.114806 
 0.064 	 0.114179 
 0.065 	 0.113564 
 0.066 	 0.112955 
 0.067 	 0.112358 
 0.068 	 0.111770 
 0.069 	 0.111190 
 0.070 	 0.110619 
 0.071 	 0.110055 
 0.072 	 0.109503 
 0.073 	 0.108954 
 0.074 	 0.108417 
 0.075 	 0.107886 
 0.076 	 0.107363 
 0.077 	 0.106846 
 0.078 	 0.106337 
 0.079 	 0.105837 
 0.080 	 0.105342 
 0.081 	 0.104856 
 0.082 	 0.104373 
 0.083 	 0.103898 
 0.084 	 0.103430 
 0.085 	 0.102966 
 0.086 	 0.102509 
 0.087 	 0.102060 
 0.088 	 0.101615 
 0.089 	 0.101176 
 0.090 	 0.100742 
 0.091 	 0.100314 
 0.092 	 0.099893 
 0.093 	 0.099475 
 0.094 	 0.099064 
 0.095 	 0.098656 
 0.096 	 0.098255 
 0.097 	 0.097858 
 0.098 	 0.097464 
 0.099 	 0.097078 
 0.100 	 0.096695 
 0.101 	 0.096316 
 0.102 	 0.095942 
